ndex,English,Kana,Romaji
#0001,Bulbasaur,フシギダネ,Fushigidane
#0002,Ivysaur,フシギソウ,Fushigisō
#0003,Venusaur,フシギバナ,Fushigibana
#0004,Charmander,ヒトカゲ,Hitokage
#0005,Charmeleon,リザード,Rizādo
#0006,Charizard,リザードン,Rizādon
#0007,Squirtle,ゼニガメ,Zenigame
#0008,Wartortle,カメール,Kamēru
#0009,Blastoise,カメックス,Kamekkusu
#0010,Caterpie,キャタピー,Kyatapī
#0011,Metapod,トランセル,Toranseru
#0012,Butterfree,バタフリー,Batafurī
#0013,Weedle,ビードル,Bīdoru
#0014,Kakuna,コクーン,Kokūn
#0015,Beedrill,スピアー,Supiā
#0016,Pidgey,ポッポ,Poppo
#0017,Pidgeotto,ピジョン,Pijon
#0018,Pidgeot,ピジョット,Pijotto
#0019,Rattata,コラッタ,Koratta
#0020,Raticate,ラッタ,Ratta
#0021,Spearow,オニスズメ,Onisuzume
#0022,Fearow,オニドリル,Onidoriru
#0023,Ekans,アーボ,Ābo
#0024,Arbok,アーボック,Ābokku
#0025,Pikachu,ピカチュウ,Pikachū
#0026,Raichu,ライチュウ,Raichū
#0027,Sandshrew,サンド,Sando
#0028,Sandslash,サンドパン,Sandopan
#0029,Nidoran♀,ニドラン♀,Nidoran Mesu
#0030,Nidorina,ニドリーナ,Nidorīna
#0031,Nidoqueen,ニドクイン,Nidokuin
#0032,Nidoran♂,ニドラン♂,Nidoran Osu
#0033,Nidorino,ニドリーノ,Nidorīno
#0034,Nidoking,ニドキング,Nidokingu
#0035,Clefairy,ピッピ,Pippi
#0036,Clefable,ピクシー,Pikushī
#0037,Vulpix,ロコン,Rokon
#0038,Ninetales,キュウコン,Kyūkon
#0039,Jigglypuff,プリン,Purin
#0040,Wigglytuff,プクリン,Pukurin
#0041,Zubat,ズバット,Zubatto
#0042,Golbat,ゴルバット,Gorubatto
#0043,Oddish,ナゾノクサ,Nazonokusa
#0044,Gloom,クサイハナ,Kusaihana
#0045,Vileplume,ラフレシア,Rafureshia
#0046,Paras,パラス,Parasu
#0047,Parasect,パラセクト,Parasekuto
#0048,Venonat,コンパン,Konpan
#0049,Venomoth,モルフォン,Morufon
#0050,Diglett,ディグダ,Diguda
#0051,Dugtrio,ダグトリオ,Dagutorio
#0052,Meowth,ニャース,Nyāsu
#0053,Persian,ペルシアン,Perushian
#0054,Psyduck,コダック,Kodakku
#0055,Golduck,ゴルダック,Gorudakku
